psraid,sample,lang,state,fips,cregion,usr,llitext,form,sex,q1,intuse,emlocc,eminuse,intmob,act21,act87,act93,act112,act130,look1,look2,loc1a,loc1b,q10a,q10b,cellphn,smart1,smart2,q11a,q11b,q11c,q11d,q11e,q11f,q12,mar,4-Mar,meet,rel1,intdatea,intdateb,intdatec,intdated,intdatee,celldatea,celldateb,breaka,breakb,date1a,date3a,date3b,date9a,date9b,date9c,date9d,rel5,rel6,q13a,q13b,q13c,age,educ2,emplnw,hisp,race,inc,lgbt
200416,2,1,42,42059,1,R, ,1,2,3,1,1, ,1,2,1,2,2,2,2,2,2, , ,2,1,1,1,1,1,1,1,1,1,2,6, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2,2,27,5,1,2,1,99,1
200420,2,1,49,49035,4,S, ,1,1,1,1,1, ,1,1,1,1,2,2,2,1,1, , ,2,1,1,1,1,1,1,2,1,2,2,1, , ,2,2,2, , , , , , , ,2,1,1,1,1,2,1,1,3,2,2,2,63,5,1,2,1,6,1
200424,2,1,36,36059,1,S, ,2,2,3, , ,1,1,1,1,2,2,2,1,2, ,2, ,1,1,1,3,1,2,1,2,1,1,2,6,2, , ,2,2, , , , , , , ,2,2,2,1,2,2,8, , ,2,1,2,19,4,2,2,2,98,1
200426,2,1,27,27059,2,S, ,2,2,3, , ,1,1,2,1,2,2,2,1,2, ,2, ,1,1,2,8,1,2,2,2,2,1,2,1, , ,2,2,2, , , , , , , ,2,2,1,1,1,2,2,1,3,2,2,2,62,6,3,2,1,6,1
200430,2,1,4,04005,4,U, ,2,1,2, , ,2,1,2,2,2,2,2,2,2, , , ,2,1,2,10,2,2,2,2,2,1, ,6,2, , ,2,2, , , , , , , ,2,2,2,2,2,2,1, , ,2,2,2,27,3,4,1,5,1,1
200431,2,1,4,04013,4,U, ,2,2,4, , ,1,1,1,1,1,2,2,1,2, ,2, ,1,1,2,2,2,2,2,2,2,1, ,1, , ,2,2,1, , , , , , , ,2,2,2,2,2,2,2,1,3,2,2,2,56,4,1,2,1,5,1
200434,2,1,17,17031,2,U, ,2,1,3, , ,1,1,1,1,2,2,2,1,1, ,2, ,2,1,1,12,1,2,1,2,1,1,2,6, , ,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,40,5,1,2,1,6,1
200435,2,1,37,37083,3,R, ,2,1,3, , ,2,2, , , , , , , , , , ,2,1,2,8,2,2,2,2,2,2, ,1, , ,2, , , , , , , , , , ,2,2,2,2,1,1, ,3,2,2,2,66,2,3,2,2,1,1
200436,2,1,13,13127,3,S, ,1,1,3,1,2, ,2,1,2,2,2,2,2,2, , , ,2,1,8,12,2,2,2,2,2,2, ,1, , ,2,2,2, , , , , , , ,2,2,2,1,1,2,2,1,3,2,2,2,56,4,5,2,1,5,1
200447,2,1,29,29095,2,S, ,2,1,4, , ,1,2,1,2,2,2,2,2,2, , , ,2,1,2,7,1,2,2,2,2,2,2,5,2, , ,2,1, , , , , , , ,2,8,8,2,8,2,8, , ,2,2,2,92,8,3,2,1,3,1
200449,2,1,6,06037,4,U, ,1,2,2,1,1, ,2,1,2,2,2,2,1,1, , , ,1,1,2,13,2,2,2,2,2,1, ,6, , ,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,3,2,1,2,47,8,1,2,2,7,1
200451,2,1,6,06077,4,U, ,2,2,3, , ,1,1,2,1,1,2,2,1,2, ,1, ,2,1,1,1,1,1,1,1,1,1,1,6, , ,1,2,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,20,4,4,1,1,2,1
200452,2,1,21,21111,3,U, ,1,2,4,1,2, ,2,2,2,2,2,2,1,2, , , ,2,1,2,7,2,2,2,2,2,2, ,1, , ,2,2,2, , , , , , , ,2,2,2,8,1,2,8,1,3,2,2,2,54,3,1,2,1,99,1
200453,2,1,48,48027,3,U, ,2,1,1, , ,1,1,1,2,2,2,2,1,2, , , ,2,1,1,3,1,1,1,2,1,1,1,1, , ,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,51,6,1,2,1,8,1
200454,2,1,48,48061,3,S, ,1,1,4,2,2, ,2, , , , , , , , , , ,2,1,1,2,2,2,2,2,2,2, ,1, , ,2, , , , , , , , , , ,1,2,1,1,1,1, ,3,2,2,2,60,3,1,1,1,1,1
200457,2,1,21,21111,3,U, ,2,1,3, , ,1,1,2,2,2,2,8,2,2, , , ,2,1,2,7,2,2,2,2,2,2, ,1, , ,2,2,2, , , , , , , ,2,2,2,2,1,2,2,2,3,2,2,2,56,3,3,2,1,5,1
200466,2,1,55,55025,2,U, ,2,1,2, , ,1,1,1,1,2,2,2,1,2, ,1, ,1,1,1,3,1,1,1,1,1,1,1,6, , ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,1,2,2,29,5,1,2,1,3,1
